Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[Auth] Get User Info,33,0,9,9.45746964090645,4.090083006303757,19.900750019587576,221.06060606060606,0.4770062250931518,0.0,9,11,11,13,16,20,20,20,20,20,20
GET,[Stats] Get User Stats,50,0,10,11.04517247993499,4.610208998201415,20.51970799220726,66.86,0.7227367046865937,0.0,11,13,14,15,17,19,21,21,21,21,21
POST,[Tasks] Create,98,0,11,12.640364806058493,3.4358339908067137,34.879624989116564,356.5612244897959,1.4165639411857236,0.0,11,13,15,16,20,24,34,35,35,35,35
DELETE,[Tasks] Delete,16,0,12,13.569992184784496,6.801375013310462,33.199749974301085,0.0,0.23127574549970997,0.0,12,14,16,16,18,33,33,33,33,33,33
GET,[Tasks] Get Single,64,0,9,9.681622360858455,3.8702500169165432,21.41020802082494,348.0,0.9251029819988399,0.0,9,11,12,13,15,16,20,21,21,21,21
GET,[Tasks] List All,337,0,12,12.44268435048691,3.9805830165278167,31.506875006016344,4691.032640949555,4.871245389587641,0.0,12,15,16,17,18,20,21,22,32,32,32
GET,[Tasks] List Filtered,93,0,12,12.85762679781915,4.435665992787108,31.618499982869253,1688.6881720430108,1.3442902707170643,0.0,12,16,17,18,19,20,22,32,32,32,32
PATCH,[Tasks] Mark Complete,26,0,12,12.292139386632838,5.55058300960809,21.23054099502042,343.2307692307692,0.3758230864370287,0.0,12,13,14,16,19,20,21,21,21,21,21
PATCH,[Tasks] Mark Incomplete,16,0,11,12.09870062484697,4.676917014876381,34.18054198846221,363.8125,0.23127574549970997,0.0,11,12,15,15,19,34,34,34,34,34,34
PUT,[Tasks] Update,31,0,15,13.960771356529046,4.854500002693385,35.262833000160754,355.48387096774195,0.44809675690568807,0.0,15,16,17,18,19,20,35,35,35,35,35
,Aggregated,764,0,12,12.139734612049168,3.4358339908067137,35.262833000160754,2397.30890052356,11.043416847611152,0.0,12,14,15,16,18,20,22,32,35,35,35
