Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[Auth] Get User Info,225,0,4,5.418772000120953,1.9695419759955257,38.71687498758547,223.28,3.2532105747669133,0.0,4,5,5,5,8,15,28,34,39,39,39
GET,[Stats] Get User Stats,320,0,6,7.259506118407444,3.4205409756395966,42.89150002296083,67.178125,4.626788373001832,0.0,6,6,7,8,10,16,27,40,43,43,43
POST,[Tasks] Create,686,0,6,7.678520143063978,3.1760420242790133,49.29816600633785,358.63556851311955,9.918677574622677,0.0,6,7,7,8,11,21,36,40,49,49,49
DELETE,[Tasks] Delete,104,0,5,7.3045857584824825,3.1195839983411133,49.42841699812561,0.0,1.5037062212255954,0.0,5,6,6,7,12,18,42,43,49,49,49
GET,[Tasks] Get Single,447,0,4,6.02791694890639,2.1480829745996743,45.366749982349575,361.51901565995524,6.463045008536935,0.0,4,5,6,6,9,17,32,38,45,45,45
GET,[Tasks] List All,2344,0,7,8.204105288463163,3.22174999746494,53.269916999852285,9400.46970989761,33.89122483223842,0.0,7,7,8,9,11,17,34,40,50,53,53
GET,[Tasks] List Filtered,709,0,6,7.570601042863494,3.7831249937880784,46.49624999728985,2990.530324400564,10.251227988932184,0.0,6,7,7,8,10,15,30,33,46,46,46
PATCH,[Tasks] Mark Complete,95,0,6,8.109464892798936,3.9839169767219573,47.130541992373765,359.5578947368421,1.3735777982349189,0.0,6,7,7,8,12,20,46,47,47,47,47
PATCH,[Tasks] Mark Incomplete,58,0,6,8.867035842709372,3.814625000813976,45.71829200722277,361.8103448275862,0.8386053926065821,0.0,6,7,8,9,14,43,43,46,46,46,46
PUT,[Tasks] Update,209,0,6,7.486051225335155,3.376750013558194,50.09083400364034,362.8708133971292,3.0218711561168217,0.0,6,7,8,8,10,13,36,39,50,50,50
,Aggregated,5197,0,6,7.641165510186411,1.9695419759955257,53.269916999852285,4765.312295555128,75.14193492028288,0.0,6,7,8,8,11,17,34,40,49,53,53
