Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[Auth] Get User Info,112,0,13,17.366049490062455,7.315292023122311,76.43070799531415,224.33928571428572,1.6205481518863172,0.0,13,18,21,23,30,37,72,74,76,76,76
GET,[Stats] Get User Stats,173,0,15,20.33089350497167,8.954749995609745,83.62233298248611,66.98265895953757,2.503168127467258,0.0,15,20,23,26,37,44,74,84,84,84,84
POST,[Tasks] Create,370,0,14,18.531430838629603,7.7752080105710775,83.1036250165198,356.6027027027027,5.35359657319587,0.0,14,18,21,24,33,47,65,72,83,83,83
DELETE,[Tasks] Delete,56,0,14,17.85261751969561,8.212916000047699,64.15350001771003,0.0,0.8102740759431586,0.0,14,17,20,20,36,45,61,64,64,64,64
GET,[Tasks] Get Single,256,0,13,17.27303791403756,6.989833986153826,84.07412498490885,353.8515625,3.7041100614544393,0.0,13,16,19,21,29,43,69,82,84,84,84
GET,[Tasks] List All,1188,0,13,17.60167307656957,7.134500017855316,83.58329100883566,6665.253367003367,17.189385753937007,0.0,13,17,20,22,29,41,69,76,83,84,84
GET,[Tasks] List Filtered,372,0,14,18.410301542830258,7.109041005605832,84.49987499625422,2219.793010752688,5.382534933050982,0.0,14,17,20,22,31,57,72,79,84,84,84
PATCH,[Tasks] Mark Complete,66,0,18,22.091893984135382,7.971082988660783,76.69654200435616,369.469696969697,0.9549658752187227,0.0,18,24,25,28,36,65,76,77,77,77,77
PATCH,[Tasks] Mark Incomplete,39,0,12,16.188104793680115,8.505124977091327,61.65095901815221,354.20512820512823,0.5642980171746997,0.0,12,16,20,22,28,36,62,62,62,62,62
PUT,[Tasks] Update,121,0,15,18.944288661688073,8.43008398078382,84.1647089982871,348.77685950413223,1.750770771234325,0.0,15,18,21,23,34,42,71,76,84,84,84
,Aggregated,2753,0,14,18.118995867600738,6.989833986153826,84.49987499625422,3299.574282600799,39.83365234056278,0.0,14,17,20,23,31,44,69,76,84,84,84
