Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[Auth] Get User Info,17,0,15,19.944107940639643,9.306499996455386,50.1782089995686,224.47058823529412,0.24551203622822618,0.0,15,22,23,23,45,50,50,50,50,50,50
GET,[Stats] Get User Stats,21,0,20,23.18831152764947,14.761291997274384,51.90379201667383,66.61904761904762,0.30327957416427936,0.0,20,24,27,27,29,35,52,52,52,52,52
POST,[Tasks] Create,44,0,22,22.585152500885837,11.757500004023314,57.258249988080934,358.75,0.6354429172965854,0.0,22,25,26,26,29,33,57,57,57,57,57
DELETE,[Tasks] Delete,7,0,17,19.474077287928335,14.724999986356124,28.128082980401814,0.0,0.10109319138809313,0.0,17,22,24,24,28,28,28,28,28,28,28
GET,[Tasks] Get Single,21,0,21,20.577023809199176,9.691374987596646,31.739250000100583,345.6666666666667,0.30327957416427936,0.0,21,23,25,25,26,29,32,32,32,32,32
GET,[Tasks] List All,123,0,22,22.4689430901705,8.327582996571437,59.94762500631623,4350.5203252032525,1.7763517915336364,0.0,22,24,24,25,30,37,58,58,60,60,60
GET,[Tasks] List Filtered,41,0,22,22.5953171689847,11.153125000419095,58.88670799322426,1468.878048780488,0.5921172638445454,0.0,22,24,26,26,32,33,59,59,59,59,59
PATCH,[Tasks] Mark Complete,5,0,26,26.52592519298196,23.86345900595188,31.641499983379617,361.4,0.07220942242006652,0.0,26,26,26,32,32,32,32,32,32,32,32
PATCH,[Tasks] Mark Incomplete,5,0,26,22.95347479521297,15.77566599007696,27.737875003367662,369.0,0.07220942242006652,0.0,26,27,27,28,28,28,28,28,28,28,28
PUT,[Tasks] Update,11,0,21,21.72579535875808,12.05745799234137,30.991749983513728,368.09090909090907,0.15886072932414635,0.0,21,25,27,27,28,31,31,31,31,31,31
,Aggregated,295,0,22,22.2530707831384,8.327582996571437,59.94762500631623,2139.993220338983,4.2603559227839245,0.0,22,24,25,26,30,35,57,58,60,60,60
