Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[Auth] Get User Info,238,0,15,20.66600907563639,7.276499993167818,81.47704199654981,222.2058823529412,3.4396590253693664,0.0,15,20,25,29,40,56,80,81,81,81,81
GET,[Stats] Get User Stats,323,0,21,26.407323777135,8.539500006008893,110.1384999928996,67.10526315789474,4.668108677286997,0.0,21,28,33,37,49,67,86,88,110,110,110
POST,[Tasks] Create,650,0,20,24.684770053360037,7.476541999494657,105.99124999134801,357.21076923076924,9.394026749958353,0.0,20,26,32,35,46,63,85,89,110,110,110
DELETE,[Tasks] Delete,92,0,16,21.847081445309374,7.872000016504899,90.25591702084057,0.0,1.3296160938402592,0.0,17,22,28,29,46,56,85,90,90,90,90
GET,[Tasks] Get Single,457,0,17,23.12295660647845,6.6589580092113465,100.51737498724833,354.61269146608316,6.604723422663027,0.0,17,23,28,33,48,70,87,90,100,100,100
GET,[Tasks] List All,2239,0,19,25.027174102891692,7.032292021904141,112.05441600759514,9347.142474318893,32.358809066395004,0.0,19,26,32,36,50,68,86,90,100,110,110
GET,[Tasks] List Filtered,684,0,19,24.36703138464615,6.82408400462009,98.69108299608342,3026.812865497076,9.885406610725406,0.0,19,27,33,38,47,58,86,91,99,99,99
PATCH,[Tasks] Mark Complete,80,0,19,23.607532811001875,7.571124995592982,75.08624999900348,354.1875,1.156187907687182,0.0,20,24,30,33,51,61,68,75,75,75,75
PATCH,[Tasks] Mark Incomplete,52,0,18,23.53511624712085,7.666207995498553,88.48241699161008,354.46153846153845,0.7515221399966683,0.0,18,25,28,29,44,69,88,88,88,88,88
PUT,[Tasks] Update,238,0,19,26.063960096446657,7.646791986189783,111.19316599797457,351.890756302521,3.4396590253693664,0.0,19,28,34,39,56,77,90,94,110,110,110
,Aggregated,5053,0,19,24.55745940886333,6.6589580092113465,112.05441600759514,4670.079952503464,73.02771871929163,0.0,19,26,31,35,49,64,86,90,100,110,110
