Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[Auth] Get User Info,69,0,14,17.20638947976429,8.55512500857003,77.19512502080761,224.36231884057972,0.9973911440666383,0.0,14,17,19,20,29,36,45,77,77,77,77
GET,[Stats] Get User Stats,86,0,15,18.961820768349437,9.717042004922405,92.88108398322947,66.67441860465117,1.2431251940540708,0.0,15,18,20,23,30,36,58,93,93,93,93
POST,[Tasks] Create,202,0,15,19.093670575397717,7.638209004653618,94.82066700002179,359.28712871287127,2.919898711615376,0.0,15,18,20,21,30,53,62,87,95,95,95
DELETE,[Tasks] Delete,27,0,16,22.36500766486171,9.434707986656576,93.59620799659751,0.0,0.3902834911565106,0.0,16,21,23,25,56,59,94,94,94,94,94
GET,[Tasks] Get Single,118,0,13,15.698404704226512,7.489125011488795,81.04545902460814,358.6271186440678,1.7056834057951205,0.0,13,15,17,18,24,29,41,64,81,81,81
GET,[Tasks] List All,640,0,14,19.086335721749492,7.420582987833768,94.77024999796413,5224.8421875,9.251164234820992,0.0,14,18,20,22,31,45,86,92,95,95,95
GET,[Tasks] List Filtered,192,0,14,17.506092160450255,7.6116250129416585,87.79816600144841,1763.0729166666667,2.7753492704462976,0.0,14,17,20,21,27,36,59,81,88,88,88
PATCH,[Tasks] Mark Complete,25,0,13,16.6991549578961,9.28841598215513,32.98520899261348,356.12,0.36137360292269505,0.0,13,17,21,24,28,30,33,33,33,33,33
PATCH,[Tasks] Mark Incomplete,23,0,17,21.127222953667946,10.803209006553516,82.00720901368186,356.30434782608694,0.3324637146888794,0.0,17,19,21,26,37,39,82,82,82,82,82
PUT,[Tasks] Update,68,0,17,19.556976661774303,9.040707984240726,91.98620801907964,362.45588235294116,0.9829361999497305,0.0,17,19,21,22,28,33,64,92,92,92,92
,Aggregated,1450,0,14,18.579896448324597,7.420582987833768,94.82066700002179,2662.250344827586,20.95966896951631,0.0,14,18,20,22,29,41,77,88,95,95,95
