Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[Auth] Get User Info,62,0,7,7.352635807511697,2.753000007942319,43.2264159899205,221.06451612903226,0.8969129217819058,0.0,7,7,8,9,10,12,14,43,43,43,43
GET,[Stats] Get User Stats,96,0,9,10.965036405953773,3.985750023275614,42.083999986061826,66.71875,1.3887683950171446,0.0,9,12,14,15,17,22,34,42,42,42,42
POST,[Tasks] Create,179,0,10,11.537551653555818,3.6166250065434724,41.72958299750462,361.50837988826817,2.589474403209051,0.0,10,12,14,15,17,24,31,40,42,42,42
DELETE,[Tasks] Delete,28,0,8,9.395467143414342,3.7725000001955777,18.48866601358168,0.0,0.4050574485466672,0.0,8,11,12,12,17,17,18,18,18,18,18
GET,[Tasks] Get Single,132,0,7,9.870909422964111,3.2424170058220625,46.00170798948966,355.34090909090907,1.909556543148574,0.0,7,10,11,12,15,30,43,43,46,46,46
GET,[Tasks] List All,684,0,10,11.356419443324064,4.332665994297713,48.29516701283865,5307.356725146199,9.894974814497155,0.0,10,12,14,15,17,20,28,41,48,48,48
GET,[Tasks] List Filtered,190,0,9,11.541047358830264,4.124875005800277,45.692707994021475,1829.1368421052632,2.748604115138099,0.0,9,12,13,15,18,23,43,44,46,46,46
PATCH,[Tasks] Mark Complete,20,0,8,9.810958299203776,4.946041997754946,24.559957993915305,350.25,0.28932674896190513,0.0,8,10,11,13,18,25,25,25,25,25,25
PATCH,[Tasks] Mark Incomplete,25,0,10,11.996881675440818,5.463624984258786,39.572416979353875,367.88,0.3616584362023814,0.0,10,12,13,15,19,24,40,40,40,40,40
PUT,[Tasks] Update,67,0,12,12.707929759383646,5.473124998388812,37.23895800067112,349.43283582089555,0.9692446090223822,0.0,12,14,16,16,21,22,26,37,37,37,37
,Aggregated,1483,0,9,11.09098056913746,2.753000007942319,48.29516701283865,2797.7801753202966,21.453578435525266,0.0,9,12,13,15,17,21,34,42,47,48,48
